========================================================================
  KIEM BAT BIEN PHASE 2 — dataset=repobench-p level=function
    dataidx  31: sa=260 · hard_boundary=260 · struct_hierarchy=260   ✅
    dataidx  32: sa=834 · hard_boundary=834 · struct_hierarchy=834   ✅
    dataidx  33: sa=1120 · hard_boundary=1120 · struct_hierarchy=1120   ✅
    dataidx  34: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx  35: sa=436 · hard_boundary=436 · struct_hierarchy=436   ✅
    dataidx  36: sa=263 · hard_boundary=263 · struct_hierarchy=263   ✅
    dataidx  37: sa=967 · hard_boundary=967 · struct_hierarchy=967   ✅
    dataidx  38: sa=1047 · hard_boundary=1047 · struct_hierarchy=1047   ✅
    dataidx  39: sa=358 · hard_boundary=358 · struct_hierarchy=358   ✅
    dataidx  40: sa=393 · hard_boundary=393 · struct_hierarchy=393   ✅
    dataidx  41: sa=878 · hard_boundary=878 · struct_hierarchy=878   ✅
    dataidx  42: sa=516 · hard_boundary=516 · struct_hierarchy=516   ✅
    dataidx  43: sa=937 · hard_boundary=937 · struct_hierarchy=937   ✅
    dataidx  44: sa=620 · hard_boundary=620 · struct_hierarchy=620   ✅
    dataidx  45: sa=942 · hard_boundary=942 · struct_hierarchy=942   ✅
    dataidx  46: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx  47: sa=914 · hard_boundary=914 · struct_hierarchy=914   ✅
    dataidx  48: sa=846 · hard_boundary=846 · struct_hierarchy=846   ✅
    dataidx  49: sa=292 · hard_boundary=292 · struct_hierarchy=292   ✅
    dataidx  50: sa=533 · hard_boundary=533 · struct_hierarchy=533   ✅
    dataidx  51: sa=244 · hard_boundary=244 · struct_hierarchy=244   ✅
    dataidx  52: sa=335 · hard_boundary=335 · struct_hierarchy=335   ✅
    dataidx  53: sa=854 · hard_boundary=854 · struct_hierarchy=854   ✅
    dataidx  54: sa=1179 · hard_boundary=1179 · struct_hierarchy=1179   ✅
    dataidx  55: sa=1092 · hard_boundary=1092 · struct_hierarchy=1092   ✅
    dataidx  56: sa=814 · hard_boundary=814 · struct_hierarchy=814   ✅
    dataidx  57: sa=329 · hard_boundary=329 · struct_hierarchy=329   ✅
    dataidx  58: sa=1148 · hard_boundary=1148 · struct_hierarchy=1148   ✅
    dataidx  59: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx  60: sa=660 · hard_boundary=660 · struct_hierarchy=660   ✅
    dataidx  61: sa=780 · hard_boundary=780 · struct_hierarchy=780   ✅
    dataidx  62: sa=1461 · hard_boundary=1461 · struct_hierarchy=1461   ✅
    dataidx  63: sa=184 · hard_boundary=184 · struct_hierarchy=184   ✅
    dataidx  64: sa=204 · hard_boundary=204 · struct_hierarchy=204   ✅
    dataidx  65: sa=1030 · hard_boundary=1030 · struct_hierarchy=1030   ✅
    dataidx  66: sa=458 · hard_boundary=458 · struct_hierarchy=458   ✅
    dataidx  67: sa=548 · hard_boundary=548 · struct_hierarchy=548   ✅
    dataidx  68: sa=690 · hard_boundary=690 · struct_hierarchy=690   ✅
    dataidx  69: sa=228 · hard_boundary=228 · struct_hierarchy=228   ✅
    dataidx  70: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx  71: sa=286 · hard_boundary=286 · struct_hierarchy=286   ✅
    dataidx  72: sa=355 · hard_boundary=355 · struct_hierarchy=355   ✅
    dataidx  73: sa=1054 · hard_boundary=1054 · struct_hierarchy=1054   ✅
    dataidx  74: sa=417 · hard_boundary=417 · struct_hierarchy=417   ✅
    dataidx  75: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx  76: sa=591 · hard_boundary=591 · struct_hierarchy=591   ✅
    dataidx  77: sa=1050 · hard_boundary=1050 · struct_hierarchy=1050   ✅
    dataidx  78: sa=432 · hard_boundary=432 · struct_hierarchy=432   ✅
    dataidx  79: sa=255 · hard_boundary=255 · struct_hierarchy=255   ✅
    dataidx  80: sa=1093 · hard_boundary=1093 · struct_hierarchy=1093   ✅
    dataidx  81: sa=853 · hard_boundary=853 · struct_hierarchy=853   ✅
    dataidx  82: sa=242 · hard_boundary=242 · struct_hierarchy=242   ✅
    dataidx  83: sa=257 · hard_boundary=257 · struct_hierarchy=257   ✅
    dataidx  84: sa=797 · hard_boundary=797 · struct_hierarchy=797   ✅
    dataidx  85: sa=496 · hard_boundary=496 · struct_hierarchy=496   ✅
    dataidx  86: sa=380 · hard_boundary=380 · struct_hierarchy=380   ✅
    dataidx  87: sa=1246 · hard_boundary=1246 · struct_hierarchy=1246   ✅
    dataidx  88: sa=477 · hard_boundary=477 · struct_hierarchy=477   ✅
    dataidx  89: sa=230 · hard_boundary=230 · struct_hierarchy=230   ✅
    dataidx  90: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx  91: sa=796 · hard_boundary=796 · struct_hierarchy=796   ✅
    dataidx  92: sa=1512 · hard_boundary=1512 · struct_hierarchy=1512   ✅
    dataidx  93: sa=313 · hard_boundary=313 · struct_hierarchy=313   ✅
    dataidx  94: sa=988 · hard_boundary=988 · struct_hierarchy=988   ✅
    dataidx  95: sa=547 · hard_boundary=547 · struct_hierarchy=547   ✅
    dataidx  96: sa=253 · hard_boundary=253 · struct_hierarchy=253   ✅
    dataidx  97: sa=1281 · hard_boundary=1281 · struct_hierarchy=1281   ✅
    dataidx  98: sa=270 · hard_boundary=270 · struct_hierarchy=270   ✅
    dataidx  99: sa=649 · hard_boundary=649 · struct_hierarchy=649   ✅
    dataidx 100: sa=232 · hard_boundary=232 · struct_hierarchy=232   ✅
    dataidx 102: sa=558 · hard_boundary=558 · struct_hierarchy=558   ✅
    dataidx 103: sa=1184 · hard_boundary=1184 · struct_hierarchy=1184   ✅
    dataidx 104: sa=217 · hard_boundary=217 · struct_hierarchy=217   ✅
    dataidx 105: sa=586 · hard_boundary=586 · struct_hierarchy=586   ✅
    dataidx 106: sa=583 · hard_boundary=583 · struct_hierarchy=583   ✅
    dataidx 107: sa=421 · hard_boundary=421 · struct_hierarchy=421   ✅
    dataidx 108: sa=363 · hard_boundary=363 · struct_hierarchy=363   ✅
    dataidx 109: sa=601 · hard_boundary=601 · struct_hierarchy=601   ✅
    dataidx 110: sa=581 · hard_boundary=581 · struct_hierarchy=581   ✅
    dataidx 111: sa=213 · hard_boundary=213 · struct_hierarchy=213   ✅
    dataidx 112: sa=1144 · hard_boundary=1144 · struct_hierarchy=1144   ✅
    dataidx 113: sa=516 · hard_boundary=516 · struct_hierarchy=516   ✅
    dataidx 114: sa=1204 · hard_boundary=1204 · struct_hierarchy=1204   ✅
    dataidx 115: sa=969 · hard_boundary=969 · struct_hierarchy=969   ✅
    dataidx 116: sa=415 · hard_boundary=415 · struct_hierarchy=415   ✅
    dataidx 117: sa=236 · hard_boundary=236 · struct_hierarchy=236   ✅
    dataidx 118: sa=432 · hard_boundary=432 · struct_hierarchy=432   ✅
    dataidx 119: sa=195 · hard_boundary=195 · struct_hierarchy=195   ✅
    dataidx 120: sa=861 · hard_boundary=861 · struct_hierarchy=861   ✅
    dataidx 121: sa=522 · hard_boundary=522 · struct_hierarchy=522   ✅
    dataidx 122: sa=398 · hard_boundary=398 · struct_hierarchy=398   ✅
    dataidx 123: sa=1183 · hard_boundary=1183 · struct_hierarchy=1183   ✅
    dataidx 124: sa=1378 · hard_boundary=1378 · struct_hierarchy=1378   ✅
    dataidx 125: sa=979 · hard_boundary=979 · struct_hierarchy=979   ✅
    dataidx 126: sa=338 · hard_boundary=338 · struct_hierarchy=338   ✅
    dataidx 127: sa=1498 · hard_boundary=1498 · struct_hierarchy=1498   ✅
    dataidx 128: sa=515 · hard_boundary=515 · struct_hierarchy=515   ✅
    dataidx 129: sa=379 · hard_boundary=379 · struct_hierarchy=379   ✅
    dataidx 130: sa=556 · hard_boundary=556 · struct_hierarchy=556   ✅
    dataidx 131: sa=713 · hard_boundary=713 · struct_hierarchy=713   ✅
    dataidx 132: sa=960 · hard_boundary=960 · struct_hierarchy=960   ✅
    dataidx 133: sa=566 · hard_boundary=566 · struct_hierarchy=566   ✅
    dataidx 134: sa=755 · hard_boundary=755 · struct_hierarchy=755   ✅
    dataidx 135: sa=1160 · hard_boundary=1160 · struct_hierarchy=1160   ✅
    dataidx 136: sa=393 · hard_boundary=393 · struct_hierarchy=393   ✅
    dataidx 137: sa=232 · hard_boundary=232 · struct_hierarchy=232   ✅
    dataidx 138: sa=1273 · hard_boundary=1273 · struct_hierarchy=1273   ✅
    dataidx 139: sa=773 · hard_boundary=773 · struct_hierarchy=773   ✅
    dataidx 140: sa=1301 · hard_boundary=1301 · struct_hierarchy=1301   ✅
    dataidx 141: sa=356 · hard_boundary=356 · struct_hierarchy=356   ✅
    dataidx 142: sa=776 · hard_boundary=776 · struct_hierarchy=776   ✅
    dataidx 143: sa=971 · hard_boundary=971 · struct_hierarchy=971   ✅
    dataidx 144: sa=225 · hard_boundary=225 · struct_hierarchy=225   ✅
    dataidx 145: sa=566 · hard_boundary=566 · struct_hierarchy=566   ✅
    dataidx 146: sa=521 · hard_boundary=521 · struct_hierarchy=521   ✅
    dataidx 147: sa=655 · hard_boundary=655 · struct_hierarchy=655   ✅
    dataidx 148: sa=239 · hard_boundary=239 · struct_hierarchy=239   ✅
    dataidx 149: sa=592 · hard_boundary=592 · struct_hierarchy=592   ✅
    dataidx 150: sa=379 · hard_boundary=379 · struct_hierarchy=379   ✅
    dataidx 151: sa=710 · hard_boundary=710 · struct_hierarchy=710   ✅
    dataidx 152: sa=349 · hard_boundary=349 · struct_hierarchy=349   ✅
    dataidx 153: sa=268 · hard_boundary=268 · struct_hierarchy=268   ✅
    dataidx 154: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx 155: sa=262 · hard_boundary=262 · struct_hierarchy=262   ✅
    dataidx 156: sa=800 · hard_boundary=800 · struct_hierarchy=800   ✅
    dataidx 157: sa=913 · hard_boundary=913 · struct_hierarchy=913   ✅
    dataidx 158: sa=867 · hard_boundary=867 · struct_hierarchy=867   ✅
    dataidx 159: sa=340 · hard_boundary=340 · struct_hierarchy=340   ✅
    dataidx 160: sa=297 · hard_boundary=297 · struct_hierarchy=297   ✅
    dataidx 161: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx 162: sa=360 · hard_boundary=360 · struct_hierarchy=360   ✅
    dataidx 163: sa=748 · hard_boundary=748 · struct_hierarchy=748   ✅
    dataidx 164: sa=1152 · hard_boundary=1152 · struct_hierarchy=1152   ✅
    dataidx 165: sa=739 · hard_boundary=739 · struct_hierarchy=739   ✅
    dataidx 166: sa=296 · hard_boundary=296 · struct_hierarchy=296   ✅
    dataidx 167: sa=565 · hard_boundary=565 · struct_hierarchy=565   ✅
    dataidx 168: sa=966 · hard_boundary=966 · struct_hierarchy=966   ✅
    dataidx 169: sa=716 · hard_boundary=716 · struct_hierarchy=716   ✅
    dataidx 170: sa=1569 · hard_boundary=1569 · struct_hierarchy=1569   ✅
    dataidx 171: sa=253 · hard_boundary=253 · struct_hierarchy=253   ✅
    dataidx 172: sa=1421 · hard_boundary=1421 · struct_hierarchy=1421   ✅
    dataidx 173: sa=833 · hard_boundary=833 · struct_hierarchy=833   ✅
    dataidx 174: sa=279 · hard_boundary=279 · struct_hierarchy=279   ✅
    dataidx 175: sa=759 · hard_boundary=759 · struct_hierarchy=759   ✅
    dataidx 176: sa=628 · hard_boundary=628 · struct_hierarchy=628   ✅
    dataidx 177: sa=559 · hard_boundary=559 · struct_hierarchy=559   ✅
    dataidx 178: sa=247 · hard_boundary=247 · struct_hierarchy=247   ✅
    dataidx 179: sa=385 · hard_boundary=385 · struct_hierarchy=385   ✅
    dataidx 180: sa=1521 · hard_boundary=1521 · struct_hierarchy=1521   ✅
    dataidx 181: sa=222 · hard_boundary=222 · struct_hierarchy=222   ✅
    dataidx 182: sa=754 · hard_boundary=754 · struct_hierarchy=754   ✅
    dataidx 183: sa=696 · hard_boundary=696 · struct_hierarchy=696   ✅
    dataidx 184: sa=322 · hard_boundary=322 · struct_hierarchy=322   ✅
    dataidx 185: sa=1332 · hard_boundary=1332 · struct_hierarchy=1332   ✅
    dataidx 186: sa=999 · hard_boundary=999 · struct_hierarchy=999   ✅
    dataidx 187: sa=440 · hard_boundary=440 · struct_hierarchy=440   ✅
    dataidx 188: sa=286 · hard_boundary=286 · struct_hierarchy=286   ✅
    dataidx 189: sa=1266 · hard_boundary=1266 · struct_hierarchy=1266   ✅
    dataidx 190: sa=444 · hard_boundary=444 · struct_hierarchy=444   ✅
    dataidx 191: sa=909 · hard_boundary=909 · struct_hierarchy=909   ✅
    dataidx 192: sa=1035 · hard_boundary=1035 · struct_hierarchy=1035   ✅
    dataidx 193: sa=319 · hard_boundary=319 · struct_hierarchy=319   ✅
    dataidx 194: sa=276 · hard_boundary=276 · struct_hierarchy=276   ✅
    dataidx 195: sa=753 · hard_boundary=753 · struct_hierarchy=753   ✅
    dataidx 196: sa=395 · hard_boundary=395 · struct_hierarchy=395   ✅
    dataidx 197: sa=847 · hard_boundary=847 · struct_hierarchy=847   ✅
    dataidx 198: sa=851 · hard_boundary=851 · struct_hierarchy=851   ✅
    dataidx 199: sa=522 · hard_boundary=522 · struct_hierarchy=522   ✅

[C] Shape + do dai — sa
    dataidx   0: centroids (1, 32, 819, 128) ✅ · labels (1, 32, 16398) (mong 16398) ✅ · o rong 0.0%
    dataidx   1: centroids (1, 32, 1200, 128) ✅ · labels (1, 32, 24019) (mong 24019) ✅ · o rong 0.0%
    dataidx   2: centroids (1, 32, 951, 128) ✅ · labels (1, 32, 19037) (mong 19037) ✅ · o rong 0.0%
    dataidx   3: centroids (1, 32, 1195, 128) ✅ · labels (1, 32, 23906) (mong 23906) ✅ · o rong 0.0%
    dataidx   4: centroids (1, 32, 1041, 128) ✅ · labels (1, 32, 20830) (mong 20830) ✅ · o rong 0.0%
    dataidx   5: centroids (1, 32, 1030, 128) ✅ · labels (1, 32, 20610) (mong 20610) ✅ · o rong 0.0%
    dataidx   6: centroids (1, 32, 250, 128) ✅ · labels (1, 32, 5007) (mong 5007) ✅ · o rong 0.0%
    dataidx   7: centroids (1, 32, 1012, 128) ✅ · labels (1, 32, 20258) (mong 20258) ✅ · o rong 0.0%
    dataidx   8: centroids (1, 32, 1149, 128) ✅ · labels (1, 32, 22997) (mong 22997) ✅ · o rong 0.0%
    dataidx   9: centroids (1, 32, 1291, 128) ✅ · labels (1, 32, 25827) (mong 25827) ✅ · o rong 0.0%
    dataidx  10: centroids (1, 32, 223, 128) ✅ · labels (1, 32, 4462) (mong 4462) ✅ · o rong 0.0%
    dataidx  11: centroids (1, 32, 329, 128) ✅ · labels (1, 32, 6580) (mong 6580) ✅ · o rong 0.0%
    dataidx  12: centroids (1, 32, 619, 128) ✅ · labels (1, 32, 12390) (mong 12390) ✅ · o rong 0.0%
    dataidx  13: centroids (1, 32, 330, 128) ✅ · labels (1, 32, 6617) (mong 6617) ✅ · o rong 0.0%
    dataidx  14: centroids (1, 32, 1387, 128) ✅ · labels (1, 32, 27756) (mong 27756) ✅ · o rong 0.0%
    dataidx  15: centroids (1, 32, 305, 128) ✅ · labels (1, 32, 6108) (mong 6108) ✅ · o rong 0.0%
    dataidx  16: centroids (1, 32, 996, 128) ✅ · labels (1, 32, 19935) (mong 19935) ✅ · o rong 0.0%
    dataidx  17: centroids (1, 32, 835, 128) ✅ · labels (1, 32, 16703) (mong 16703) ✅ · o rong 0.0%
    dataidx  18: centroids (1, 32, 394, 128) ✅ · labels (1, 32, 7886) (mong 7886) ✅ · o rong 0.0%
    dataidx  19: centroids (1, 32, 224, 128) ✅ · labels (1, 32, 4484) (mong 4484) ✅ · o rong 0.0%
    dataidx  20: centroids (1, 32, 458, 128) ✅ · labels (1, 32, 9162) (mong 9162) ✅ · o rong 0.0%
    dataidx  21: centroids (1, 32, 1102, 128) ✅ · labels (1, 32, 22054) (mong 22054) ✅ · o rong 0.0%
    dataidx  22: centroids (1, 32, 1157, 128) ✅ · labels (1, 32, 23153) (mong 23153) ✅ · o rong 0.0%
    dataidx  23: centroids (1, 32, 1462, 128) ✅ · labels (1, 32, 29251) (mong 29251) ✅ · o rong 0.0%
    dataidx  24: centroids (1, 32, 474, 128) ✅ · labels (1, 32, 9483) (mong 9483) ✅ · o rong 0.0%
    dataidx  25: centroids (1, 32, 398, 128) ✅ · labels (1, 32, 7962) (mong 7962) ✅ · o rong 0.0%
    dataidx  26: centroids (1, 32, 912, 128) ✅ · labels (1, 32, 18253) (mong 18253) ✅ · o rong 0.0%
    dataidx  27: centroids (1, 32, 510, 128) ✅ · labels (1, 32, 10200) (mong 10200) ✅ · o rong 0.0%
    dataidx  28: centroids (1, 32, 753, 128) ✅ · labels (1, 32, 15065) (mong 15065) ✅ · o rong 0.0%
    dataidx  29: centroids (1, 32, 398, 128) ✅ · labels (1, 32, 7973) (mong 7973) ✅ · o rong 0.0%
    dataidx  30: centroids (1, 32, 683, 128) ✅ · labels (1, 32, 13661) (mong 13661) ✅ · o rong 0.0%
    dataidx  31: centroids (1, 32, 260, 128) ✅ · labels (1, 32, 5218) (mong 5218) ✅ · o rong 0.0%
    dataidx  32: centroids (1, 32, 834, 128) ✅ · labels (1, 32, 16692) (mong 16692) ✅ · o rong 0.0%
    dataidx  33: centroids (1, 32, 1120, 128) ✅ · labels (1, 32, 22410) (mong 22410) ✅ · o rong 0.0%
    dataidx  34: centroids (1, 32, 1569, 128) ✅ · labels (1, 32, 31394) (mong 31394) ✅ · o rong 0.0%
    dataidx  35: centroids (1, 32, 436, 128) ✅ · labels (1, 32, 8738) (mong 8738) ✅ · o rong 0.0%
    dataidx  36: centroids (1, 32, 263, 128) ✅ · labels (1, 32, 5271) (mong 5271) ✅ · o rong 0.0%
    dataidx  37: centroids (1, 32, 967, 128) ✅ · labels (1, 32, 19347) (mong 19347) ✅ · o rong 0.0%
    dataidx  38: centroids (1, 32, 1047, 128) ✅ · labels (1, 32, 20956) (mong 20956) ✅ · o rong 0.0%
    dataidx  39: centroids (1, 32, 358, 128) ✅ · labels (1, 32, 7161) (mong 7161) ✅ · o rong 0.0%
    dataidx  40: centroids (1, 32, 393, 128) ✅ · labels (1, 32, 7870) (mong 7870) ✅ · o rong 0.0%
    dataidx  41: centroids (1, 32, 878, 128) ✅ · labels (1, 32, 17564) (mong 17564) ✅ · o rong 0.0%
    dataidx  42: centroids (1, 32, 516, 128) ✅ · labels (1, 32, 10320) (mong 10320) ✅ · o rong 0.0%
    dataidx  43: centroids (1, 32, 937, 128) ✅ · labels (1, 32, 18740) (mong 18740) ✅ · o rong 0.0%
    dataidx  44: centroids (1, 32, 620, 128) ✅ · labels (1, 32, 12400) (mong 12400) ✅ · o rong 0.0%
    dataidx  45: centroids (1, 32, 942, 128) ✅ · labels (1, 32, 18850) (mong 18850) ✅ · o rong 0.0%
    dataidx  46: centroids (1, 32, 1569, 128) ✅ · labels (1, 32, 31394) (mong 31394) ✅ · o rong 0.0%
    dataidx  47: centroids (1, 32, 914, 128) ✅ · labels (1, 32, 18297) (mong 18297) ✅ · o rong 0.0%
    dataidx  48: centroids (1, 32, 846, 128) ✅ · labels (1, 32, 16926) (mong 16926) ✅ · o rong 0.0%
    dataidx  49: centroids (1, 32, 292, 128) ✅ · labels (1, 32, 5842) (mong 5842) ✅ · o rong 0.0%
    dataidx  50: centroids (1, 32, 533, 128) ✅ · labels (1, 32, 10667) (mong 10667) ✅ · o rong 0.0%
    dataidx  51: centroids (1, 32, 244, 128) ✅ · labels (1, 32, 4892) (mong 4892) ✅ · o rong 0.0%
    dataidx  52: centroids (1, 32, 335, 128) ✅ · labels (1, 32, 6716) (mong 6716) ✅ · o rong 0.0%
    dataidx  53: centroids (1, 32, 854, 128) ✅ · labels (1, 32, 17095) (mong 17095) ✅ · o rong 0.0%
    dataidx  54: centroids (1, 32, 1179, 128) ✅ · labels (1, 32, 23581) (mong 23581) ✅ · o rong 0.0%
    dataidx  55: centroids (1, 32, 1092, 128) ✅ · labels (1, 32, 21843) (mong 21843) ✅ · o rong 0.0%
    dataidx  56: centroids (1, 32, 814, 128) ✅ · labels (1, 32, 16288) (mong 16288) ✅ · o rong 0.0%
    dataidx  57: centroids (1, 32, 329, 128) ✅ · labels (1, 32, 6594) (mong 6594) ✅ · o rong 0.0%
    dataidx  58: centroids (1, 32, 1148, 128) ✅ · labels (1, 32, 22964) (mong 22964) ✅ · o rong 0.0%
    dataidx  59: centroids (1, 32, 1569, 128) ✅ · labels (1, 32, 31394) (mong 31394) ✅ · o rong 0.0%
    dataidx  60: centroids (1, 32, 660, 128) ✅ · labels (1, 32, 13207) (mong 13207) ✅ · o rong 0.0%
    dataidx  61: centroids (1, 32, 780, 128) ✅ · labels (1, 32, 15604) (mong 15604) ✅ · o rong 0.0%
    dataidx  62: centroids (1, 32, 1461, 128) ✅ · labels (1, 32, 29226) (mong 29226) ✅ · o rong 0.0%
    dataidx  63: centroids (1, 32, 184, 128) ✅ · labels (1, 32, 3681) (mong 3681) ✅ · o rong 0.0%
    dataidx  64: centroids (1, 32, 204, 128) ✅ · labels (1, 32, 4088) (mong 4088) ✅ · o rong 0.0%
    dataidx  65: centroids (1, 32, 1030, 128) ✅ · labels (1, 32, 20617) (mong 20617) ✅ · o rong 0.0%
    dataidx  66: centroids (1, 32, 458, 128) ✅ · labels (1, 32, 9162) (mong 9162) ✅ · o rong 0.0%
    dataidx  67: centroids (1, 32, 548, 128) ✅ · labels (1, 32, 10965) (mong 10965) ✅ · o rong 0.0%
    dataidx  68: centroids (1, 32, 690, 128) ✅ · labels (1, 32, 13809) (mong 13809) ✅ · o rong 0.0%
    dataidx  69: centroids (1, 32, 228, 128) ✅ · labels (1, 32, 4567) (mong 4567) ✅ · o rong 0.0%
    dataidx  70: centroids (1, 32, 1569, 128) ✅ · labels (1, 32, 31394) (mong 31394) ✅ · o rong 0.0%
    dataidx  71: centroids (1, 32, 286, 128) ✅ · labels (1, 32, 5725) (mong 5725) ✅ · o rong 0.0%
    dataidx  72: centroids (1, 32, 355, 128) ✅ · labels (1, 32, 7103) (mong 7103) ✅ · o rong 0.0%
    dataidx  73: centroids (1, 32, 1054, 128) ✅ · labels (1, 32, 21085) (mong 21085) ✅ · o rong 0.0%
    dataidx  74: centroids (1, 32, 417, 128) ✅ · labels (1, 32, 8347) (mong 8347) ✅ · o rong 0.0%
    dataidx  75: centroids (1, 32, 1569, 128) ✅ · labels (1, 32, 31394) (mong 31394) ✅ · o rong 0.0%
    dataidx  76: centroids (1, 32, 591, 128) ✅ · labels (1, 32, 11828) (mong 11828) ✅ · o rong 0.0%
    dataidx  77: centroids (1, 32, 1050, 128) ✅ · labels (1, 32, 21003) (mong 21003) ✅ · o rong 0.0%
    dataidx  78: centroids (1, 32, 432, 128) ✅ · labels (1, 32, 8650) (mong 8650) ✅ · o rong 0.0%
    dataidx  79: centroids (1, 32, 255, 128) ✅ · labels (1, 32, 5116) (mong 5116) ✅ · o rong 0.0%
    dataidx  80: centroids (1, 32, 1093, 128) ✅ · labels (1, 32, 21870) (mong 21870) ✅ · o rong 0.0%
    dataidx  81: centroids (1, 32, 853, 128) ✅ · labels (1, 32, 17069) (mong 17069) ✅ · o rong 0.0%
    dataidx  82: centroids (1, 32, 242, 128) ✅ · labels (1, 32, 4849) (mong 4849) ✅ · o rong 0.0%
    dataidx  83: centroids (1, 32, 257, 128) ✅ · labels (1, 32, 5143) (mong 5143) ✅ · o rong 0.0%
    dataidx  84: centroids (1, 32, 797, 128) ✅ · labels (1, 32, 15945) (mong 15945) ✅ · o rong 0.0%
    dataidx  85: centroids (1, 32, 496, 128) ✅ · labels (1, 32, 9920) (mong 9920) ✅ · o rong 0.0%
    dataidx  86: centroids (1, 32, 380, 128) ✅ · labels (1, 32, 7616) (mong 7616) ✅ · o rong 0.0%
    dataidx  87: centroids (1, 32, 1246, 128) ✅ · labels (1, 32, 24927) (mong 24927) ✅ · o rong 0.0%
    dataidx  88: centroids (1, 32, 477, 128) ✅ · labels (1, 32, 9557) (mong 9557) ✅ · o rong 0.0%
    dataidx  89: centroids (1, 32, 230, 128) ✅ · labels (1, 32, 4602) (mong 4602) ✅ · o rong 0.0%
    dataidx  90: centroids (1, 32, 1569, 128) ✅ · labels (1, 32, 31394) (mong 31394) ✅ · o rong 0.0%
    dataidx  91: centroids (1, 32, 796, 128) ✅ · labels (1, 32, 15935) (mong 15935) ✅ · o rong 0.0%
    dataidx  92: centroids (1, 32, 1512, 128) ✅ · labels (1, 32, 30246) (mong 30246) ✅ · o rong 0.0%
    dataidx  93: centroids (1, 32, 313, 128) ✅ · labels (1, 32, 6277) (mong 6277) ✅ · o rong 0.0%
    dataidx  94: centroids (1, 32, 988, 128) ✅ · labels (1, 32, 19770) (mong 19770) ✅ · o rong 0.0%
